"customers_id";"customers_firstname";"customers_lastname";"customers_phone";"customers_email";"customers_startdate";"fk_customer_types"
42;"Wallace";"Patterson";"360-6482";"lorem.ut.aliquam@tempus.ca";"2021-01-07 00:00:00";1
43;"Yvette";"Hess";"714-5172";"consequat.dolor.vitae@etiam.com";"2021-01-19 00:00:00";1
44;"Gary";"Taylor";"679-0567";"ligula.tortor.dictum@lobortis.co.uk";"2021-01-18 00:00:00";1
45;"August";"Meadows";"454-4606";"convallis.ligula@quisurna.ca";"2021-01-21 00:00:00";1
46;"Duncan";"Moore";"364-3761";"pede.et@crasconvallisconvallis.edu";"2021-01-12 00:00:00";2
47;"Tamekah";"Cardenas";"284-8251";"dolor.sit@mus.edu";"2020-01-20 00:00:00";2
48;"Molly";"Holcomb";"508-9845";"netus.et@orciadipiscingnon.edu";"2021-01-22 00:00:00";2
49;"Grace";"Suarez";"751-5915";"mauris@necmalesuadaut.ca";"2021-01-26 00:00:00";1
50;"Sylvia";"Galloway";"898-1612";"lobortis@faucibus.com";"2020-01-29 00:00:00";2
51;"Brooke";"Perez";"822-6836";"ligula.donec.luctus@tellus.net";"2021-01-13 00:00:00";2
52;"Kennedy";"Fuller";"695-5317";"sodales.mauris@estac.net";"2021-01-21 00:00:00";1
53;"Harrison";"Hartman";"595-9663";"nulla.facilisis@magnisdis.co.uk";"2021-01-26 00:00:00";1
54;"Wallace";"Oneil";"741-8023";"vel.lectus@nonleo.edu";"2021-01-25 00:00:00";1
55;"Dorian";"Jenkins";"633-3389";"scelerisque@odiophasellus.co.uk";"2021-01-28 00:00:00";1
56;"Cameron";"Collier";"498-0348";"morbi@adipiscing.com";"2021-01-25 00:00:00";1
57;"Brady";"Pitts";"625-1311";"pede@penatibus.ca";"2021-01-13 00:00:00";1
58;"Travis";"Kinney";"157-7039";"aliquet.molestie@suspendisse.edu";"2021-01-19 00:00:00";2
59;"Olympia";"Meyer";"334-8666";"fusce@anteipsumprimis.com";"2021-01-31 00:00:00";1
60;"Garrison";"Rutledge";"427-7894";"risus.odio.auctor@lacusaliquam.org";"2021-01-10 00:00:00";1
61;"Norman";"Case";"567-9114";"vitae.diam.proin@sed.co.uk";"2021-01-27 00:00:00";2
62;"Bruno";"Owens";"657-8744";"nulla.donec.non@inmi.ca";"2021-01-02 00:00:00";1
63;"Vance";"Sandoval";"862-4535";"vitae@vitae.org";"2021-01-02 00:00:00";1
64;"Morgan";"Marquez";"809-6818";"venenatis.a@afacilisis.org";"2020-01-23 00:00:00";2
65;"Willa";"Rich";"569-3652";"magna@ut.co.uk";"2020-01-14 00:00:00";2
66;"Ira";"Hicks";"372-8717";"neque.sed.eget@lorem.edu";"2020-01-21 00:00:00";1
67;"Alexis";"Acosta";"503-4873";"lobortis.mauris.suspendisse@non.com";"2020-01-18 00:00:00";1
68;"Rebekah";"Allen";"401-6253";"quisque.libero@magnased.edu";"2021-01-01 00:00:00";1
69;"Leo";"Baker";"587-6214";"tincidunt.tempus@enimnectempus.edu";"2021-01-28 00:00:00";2
70;"Maya";"Hess";"544-8463";"non.justo.proin@quisquetincidunt.net";"2021-01-15 00:00:00";2
71;"Hayden";"Harrison";"951-1155";"mauris.elit.dictum@lectusconvallisest.org";"2021-01-09 00:00:00";1
72;"Cassady";"Erickson";"329-8123";"lorem.tristique@dolor.net";"2021-01-05 00:00:00";1
73;"Walter";"Blair";"334-3444";"auctor@penatibusetmagnis.co.uk";"2021-01-16 00:00:00";1
74;"Clio";"Higgins";"672-2913";"phasellus@morbitristiquesenectus.org";"2021-01-24 00:00:00";2
75;"September";"Kaufman";"269-8946";"metus.facilisis@necurna.ca";"2021-01-02 00:00:00";2
76;"Mercedes";"Moss";"283-5416";"volutpat.nulla@interdumenim.co.uk";"2021-01-28 00:00:00";2
77;"Angela";"Talley";"328-7790";"in.lorem@dolordonec.ca";"2021-01-26 00:00:00";1
78;"Lara";"Bullock";"558-8748";"cras.vehicula.aliquet@ultricesiaculisodio.com";"2021-01-10 00:00:00";1
79;"Mannix";"Craig";"849-1369";"dui.fusce.aliquam@mi.co.uk";"2021-01-07 00:00:00";2
80;"Kelly";"Cantrell";"134-2792";"augue@eleifendnondapibus.edu";"2021-01-06 00:00:00";1
81;"Lisandra";"Bowen";"753-4556";"nibh.donec@nequenullamnisl.net";"2021-01-19 00:00:00";1
82;"Kirsten";"Mcguire";"653-3842";"amet@justoproin.org";"2020-01-13 00:00:00";1
83;"Gisela";"Gallagher";"381-5774";"eros.non.enim@sagittisnullam.net";"2020-01-15 00:00:00";2
84;"Ulla";"Battle";"517-8186";"euismod.est.arcu@massasuspendisse.co.uk";"2021-01-16 00:00:00";1
85;"Buffy";"Hanson";"825-5795";"amet.consectetuer@purusaccumsan.net";"2021-01-19 00:00:00";2
86;"Neve";"Watson";"215-3675";"ligula.eu@enimsit.ca";"2021-01-28 00:00:00";2
87;"Yvette";"Hickman";"378-2523";"tempor.est.ac@magnacras.com";"2021-01-17 00:00:00";1
88;"Nicholas";"Gonzales";"871-5127";"scelerisque.neque@egetmetus.edu";"2021-01-21 00:00:00";1
89;"Leandra";"Chan";"852-6522";"luctus.curabitur@nectempus.net";"2021-01-20 00:00:00";1
90;"Ivory";"Hart";"553-4469";"euismod.enim.etiam@sem.org";"2020-01-18 00:00:00";1
91;"Cadman";"Hewitt";"414-1295";"donec.tempus@etliberoproin.net";"2021-01-17 00:00:00";1
92;"Hamilton";"Macdonald";"724-9684";"lorem@doloregestas.edu";"2021-01-27 00:00:00";2
93;"Ahmed";"Burnett";"452-5053";"in.faucibus.orci@sodalesat.net";"2021-01-02 00:00:00";1
94;"Katell";"Rodgers";"616-5366";"ut@nuncmauris.ca";"2021-01-26 00:00:00";2
95;"Kasper";"Carroll";"561-2878";"fusce.aliquam.enim@nec.edu";"2021-01-30 00:00:00";1
96;"Dennis";"Combs";"249-0915";"at.lacus@metusvitae.co.uk";"2021-01-22 00:00:00";1
97;"Chelsea";"Nelson";"472-7927";"vulputate.nisi.sem@accumsanconvallis.org";"2021-01-06 00:00:00";1
98;"Carson";"Brooks";"529-1673";"cras.eu@morbi.org";"2020-01-06 00:00:00";2
99;"Kiara";"Mayo";"306-2692";"morbi.accumsan.laoreet@nuncmauris.com";"2021-01-28 00:00:00";2
